specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Fossil Fuel Power Station,Beagle Bay,Broome,Broome Asset Model,-16.99390006,122.6585086
Asset,Fossil Fuel Power Station,Djarindjin,Broome,Broome Asset Model,-16.51990769,122.9035895
Asset,Fossil Fuel Power Station,Ardyaloon,Broome,Broome Asset Model,-16.44441722,123.0413738
Asset,Natural Gas Power Station,Port Hedland,Port Hedland,Port Hedland Asset Model,-20.37817896,118.5383743
Asset,Substation,West Angelas Mine,East Pilbara,East Pilbara Asset Model,-23.14895383,118.7191731
Asset,Natural Gas Power Station,West Angelas Mine,East Pilbara,East Pilbara Asset Model,-23.15464855,118.7245217
Asset,Substation,West Angelas Mine,East Pilbara,East Pilbara Asset Model,-23.15410603,118.7250547
Asset,Natural Gas Power Station,Port Hedland,Port Hedland,Port Hedland Asset Model,-20.4283,118.5498
Asset,Substation,Hedland,Port Hedland,Port Hedland Asset Model,-20.386174,118.5764254
Asset,Natural Gas Power Station,Wodgina,Port Hedland,Port Hedland Asset Model,-21.17388339,118.674721
Asset,Solar Farm First Nations,Junja Solar Farm,Port Hedland,Port Hedland Asset Model,-20.36768946,118.8310229
Asset,Substation,Hope Downs 1,East Pilbara,East Pilbara Asset Model,-22.93811936,119.0869789
Asset,Substation,BHPB Yandi,East Pilbara,East Pilbara Asset Model,-22.73555295,119.1202702
Asset,Substation,Yandi,East Pilbara,East Pilbara Asset Model,-22.79759334,119.1335838
Asset,Substation,Hope Downs 4,East Pilbara,East Pilbara Asset Model,-23.11613952,119.5025044
Asset,Hydrogen Hub,Australian Renewable Energy Hub,East Pilbara,East Pilbara Asset Model,-20.317253,121.042081
Asset,Natural Gas Power Station,Telfer Gold Mine,East Pilbara,East Pilbara Asset Model,-21.712911,122.209103
Asset,Fossil Fuel Power Station,Hope Downs 4 Iron Ore Mine,East Pilbara,East Pilbara Asset Model,-23.20316756,119.5060814
Asset,Substation,Goldsworthy,East Pilbara,East Pilbara Asset Model,-20.33926361,119.5256958
Asset,Natural Gas Power Station,Newman Iron Ore Mine,East Pilbara,East Pilbara Asset Model,-23.344275,119.708587
Asset,Hydrogen Hub,Christmas Creek Renewable Hydrogen Mobility Project,East Pilbara,East Pilbara Asset Model,-22.402009,119.728194
Asset,Fossil Fuel Power Station,Christmas Creek Iron Ore Mine,East Pilbara,East Pilbara Asset Model,-22.399,119.732
Asset,Solar Farm,Marble Bar Solar Farm,East Pilbara,East Pilbara Asset Model,-21.16434463,119.7412
Asset,Fossil Fuel Power Station,Marble Bar Diesel Backup,East Pilbara,East Pilbara Asset Model,-21.16492293,119.7418515
Asset,Fossil Fuel Power Station,Roy Hill,East Pilbara,East Pilbara Asset Model,-22.48123779,119.9471869
Asset,Solar Farm,Nullagine Solar Farm,East Pilbara,East Pilbara Asset Model,-21.8795011,120.1117234
Asset,Fossil Fuel Power Station,Nullagine Diesel Backup,East Pilbara,East Pilbara Asset Model,-21.87944415,120.1128625
Asset,University,Pilbara Kimberley University Centres Port Hedland,Port Hedland,Port Hedland Asset Model,-20.31208177,118.5772781
Asset,Fuel Terminal,Port Hedland,Port Hedland,Port Hedland Asset Model,-20.31441307,118.5803452
